Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10,Agent 11,Agent 12,Agent 13,Agent 14,Agent 15,Agent 16
-0.08668778297726529,-0.05341113390316248,-0.09531057524394457,-0.06537365720653658,-0.07180353011956309,-0.023476265658072808,-0.0,-0.05768961894028624,-0.03987378509147296,-0.009119417745237517,-0.026002810645754545,-0.041107759314651764,-0.11560937281037119,-0.04959628141079216,-0.08237630500633682,-0.08131608263912862
-0.08306153393694367,-0.04810656865029526,-0.10960028807151043,-0.06918850969890686,-0.07180353011956309,-0.01688339290051702,-0.005237430167597766,-0.06792154254192334,-0.03863981086829417,-0.018238835490475037,-0.026002810645754545,-0.04498974689229152,-0.12195930883436853,-0.07436085457355353,-0.10190344800150039,-0.07251953851647866
-0.07541902714844335,-0.058581428985490784,-0.08761373517393453,-0.08205564485124521,-0.08080147949802138,-0.022120823068114793,-0.013001405322877267,-0.051159618008185546,-0.04375577266911271,-0.028713695825670564,-0.013001405322877267,-0.07087108917126685,-0.13089012312755738,-0.07429371948828407,-0.1005480054115424,-0.08429550816012246
-0.06642107776998504,-0.045714293833152425,-0.09142858766630482,-0.09759213370574957,-0.10638128850211415,-0.02212082306811479,-0.007763975155279502,-0.04992564378500673,-0.05275372204757104,-0.033951125993268334,-0.024647368055796526,-0.07986903854972513,-0.12461586073277482,-0.0938879975687171,-0.08483571490874908,-0.06624527612169609
-0.08298159704791451,-0.044358851243194414,-0.10571830049387068,-0.0886613194125607,-0.09614936490047704,-0.03124024081335232,-0.007763975155279503,-0.05768961894028624,-0.0566357096252108,-0.028713695825670564,-0.027358253235712563,-0.07974757018294595,-0.13859550174151278,-0.08865056740111935,-0.08625829258397655,-0.07911241127403446
-0.08809755884873302,-0.0596182612126756,-0.10571830049387064,-0.08491360200545985,-0.0820354537212002,-0.032595683403310316,-0.013001405322877269,-0.056455644717107435,-0.06951564658130883,-0.033951125993268334,-0.03124024081335232,-0.07074962080448763,-0.14764778440148085,-0.08341313723352159,-0.08625829258397655,-0.09303771900126263
-0.09464890012853874,-0.05580340872030531,-0.11761573850429366,-0.07845073615862863,-0.09750480749043507,-0.02871369582567057,-0.02212082306811479,-0.06421961987238695,-0.07074962080448766,-0.043070543738505836,-0.022120823068114793,-0.06951564658130885,-0.14888175862465966,-0.0910428422182622,-0.08625829258397655,-0.10081023270048746
-0.09988633029613651,-0.07009312154787113,-0.1267351562495312,-0.07314617090576142,-0.10138679506807483,-0.024831708248030816,-0.01688339290051702,-0.08609750620694329,-0.08098154440612475,-0.048307973906103606,-0.027358253235712553,-0.06310711401598737,-0.13982947596469159,-0.09634740747112941,-0.08102086241637878,-0.1316860684135021
-0.09865235607295769,-0.06621113397023139,-0.1239571359843457,-0.08343242778890828,-0.10015282084489602,-0.032595683403310316,-0.013001405322877267,-0.09244744223094062,-0.07445154347402404,-0.044425986328463854,-0.03259568340331032,-0.06310711401598733,-0.1374414644073631,-0.1067551327210555,-0.09673315291917207,-0.14300915752383378
-0.10116609925687976,-0.06763371164545885,-0.1330094186443138,-0.0781949976213105,-0.10027428921167522,-0.032595683403310316,-0.027358253235712553,-0.08591744129883994,-0.07833353105166378,-0.039188556160866084,-0.03783311357090807,-0.0772210251952642,-0.15030859955970144,-0.10294028022868518,-0.10203771817203929,-0.12629302772766043
